station,pred,datum,temperatur,nederbordsmangd,vindriktning,vindhastighet,lufttryck,daggpunktstemperatur,month,lag_temperatur
Station_1,73.82054251813568,2017-05-08,6.3,5.8,225.125,2.945833333333333,1015.875,-1.7416666666666665,5,7.8
Station_1,78.20815322657998,2017-05-09,4.5,2.7,111.125,3.8125000000000004,1007.1166666666664,1.5791666666666673,5,6.3
Station_1,83.89976671786776,2017-05-10,5.8,2.4,118,2.941666666666667,1007.0916666666667,4.545833333333333,5,4.5
Station_1,79.02637085725169,2017-05-11,9,0,90.33333333333333,4.366666666666666,1009.9708333333332,2.212499999999999,5,5.8
Station_1,65.99617999526262,2017-05-12,12.9,0.1,108.58333333333333,3.8958333333333335,1013.3291666666669,4.45,5,9
Station_1,51.650492454395135,2017-05-13,13.9,0,161.45833333333334,1.875,1018.4499999999999,7.999999999999997,5,12.9
Station_1,50.36387611501835,2017-05-14,11.7,0,230.58333333333334,1.9624999999999997,1025.8541666666667,8.72916666666667,5,13.9
Station_1,57.56715417367752,2017-05-15,12.2,0.8,151.16666666666666,2.8958333333333326,1028.55,8.104166666666668,5,11.7
Station_1,53.065191091119694,2017-05-16,14.7,0,164.95833333333334,2.783333333333333,1021.6624999999998,12.408333333333333,5,12.2
Station_1,43.84489026033386,2017-05-17,19.4,0,143.08333333333334,3.2833333333333328,1012.5208333333334,10.716666666666667,5,14.7
Station_1,38.45434851655829,2017-05-18,18.6,0,146.20833333333334,1.6416666666666664,1010.1416666666665,12.75,5,19.4
Station_1,38.43910768486062,2017-05-19,15.4,0,229.33333333333334,3.4791666666666665,1016.0749999999999,10.020833333333332,5,18.6
Station_1,43.76167736662301,2017-05-20,14.9,0,302.5416666666667,3.4,1024.5041666666666,7.170833333333334,5,15.4
Station_1,45.78151546378414,2017-05-21,13.7,0,256.625,2.2750000000000004,1020.7625000000002,6.733333333333334,5,14.9
Station_1,48.247710404681136,2017-05-22,14.9,0,212.70833333333334,1.8625,1014.1291666666666,8.966666666666669,5,13.7
Station_1,46.20062837627952,2017-05-23,13.1,0.2,289.7083333333333,3.391666666666667,1015.4999999999999,9.570833333333335,5,14.9
Station_1,50.31995429575566,2017-05-24,14.6,0,296.9166666666667,4.054166666666667,1017.5458333333332,9.045833333333333,5,13.1
Station_1,44.40301441962949,2017-05-25,17.6,0,305.2083333333333,3.608333333333333,1020.0083333333332,10.549999999999999,5,14.6
Station_1,39.63123372763441,2017-05-26,17.7,0,143.08333333333334,2.216666666666667,1021.8291666666668,11.079166666666667,5,17.6
Station_1,39.529853863511335,2017-05-27,17.7,0,197.45833333333334,3.6958333333333333,1015.0208333333331,11.833333333333334,5,17.7
Station_1,39.567578849325436,2017-05-28,14.3,0,226.45833333333334,1.8250000000000004,1012.5708333333333,11.800000000000002,5,17.7
Station_1,46.55524799370549,2017-05-29,14.9,0.5,206.08333333333334,2.729166666666666,1009.525,12.975000000000001,5,14.3
Station_1,45.85133148356616,2017-05-30,13.6,0,267.0416666666667,6.391666666666668,1011.1416666666668,8.616666666666669,5,14.9
Station_1,49.98459281956203,2017-05-31,13.3,0,298.1666666666667,4.445833333333332,1017.0416666666666,6.979166666666668,5,13.6
Station_1,36.759108056741105,2017-06-01,13.5,0,206.66666666666666,2.7000000000000006,1017.9083333333334,8.891666666666667,6,13.3
Station_1,35.101717023502026,2017-06-02,14.6,0,147.25,2.8249999999999997,1015.8833333333332,7.704166666666666,6,13.5
Station_1,32.92459527254531,2017-06-03,13.3,9.6,178.54166666666666,1.7458333333333333,1008.9958333333333,10.262500000000001,6,14.6
Station_1,35.80082350314525,2017-06-04,14.5,0.5,218.41666666666666,3.1500000000000004,1011.3333333333335,8.9125,6,13.3
Station_1,31.321377306764713,2017-06-05,16,21.8,119.04166666666667,4.245833333333334,1005.3041666666667,10.483333333333334,6,14.5
Station_1,29.2808670268853,2017-06-06,13.1,6.3,198.54166666666666,5.5249999999999995,1002.5166666666669,10.262500000000001,6,16
Station_1,37.00875351736015,2017-06-07,13.9,5.8,215.54166666666666,5.095833333333333,1011.0333333333334,9.687500000000002,6,13.1
Station_1,32.03612854471786,2017-06-08,17.5,1.1,160.08333333333334,3.341666666666667,1011.0916666666667,13.329166666666666,6,13.9
Station_1,25.691012868995227,2017-06-09,16.4,0,240.45833333333334,2.358333333333333,1016.3166666666666,11.225000000000001,6,17.5
Station_1,27.11571954273349,2017-06-10,17.8,3.2,187.66666666666666,3.270833333333334,1013.1541666666664,13.625,6,16.4
Station_1,25.363574023362137,2017-06-11,15.1,0.1,236.52173913043478,5.547826086956521,1004.5500000000001,10.52608695652174,6,17.8
Station_1,30.54019862068046,2017-06-12,14.8,0,285.25,6.154166666666666,1008.7541666666666,9.804166666666669,6,15.1
Station_1,30.546885177820844,2017-06-13,16.1,0,292.9166666666667,3.850000000000001,1016.0500000000002,10.9125,6,14.8
Station_1,27.68268038372752,2017-06-14,16.8,3.6,218.54166666666666,2.1666666666666665,1014.7666666666668,12.620833333333335,6,16.1
Station_1,26.719407088785875,2017-06-15,15.8,5.5,252.66666666666666,4.908333333333334,1008.1541666666667,11.9375,6,16.8
Station_1,28.33719814258423,2017-06-16,16.3,0,293.25,4.445833333333334,1017.1833333333334,12.049999999999997,6,15.8
Station_1,27.27392815682099,2017-06-17,18.8,0,277.9166666666667,2.754166666666667,1021.1624999999999,14.691666666666665,6,16.3
Station_1,25.012452258274767,2017-06-18,19.7,0,274.25,2.545833333333333,1018.9875000000002,14.579166666666667,6,18.8
Station_1,23.852653646185612,2017-06-19,16.6,0,296.3333333333333,5.679166666666667,1014.7416666666667,9.816666666666665,6,19.7
Station_1,27.063694299429574,2017-06-20,15.7,0,302.7083333333333,4.216666666666669,1015.2999999999998,9.049999999999999,6,16.6
Station_1,29.230909671290515,2017-06-21,14.6,1.2,181.95833333333334,1.666666666666667,1009.6750000000001,10.954166666666667,6,15.7
Station_1,30.782159052866756,2017-06-22,16.6,5.5,169.08333333333334,2.5624999999999996,1005.9375000000003,13.991666666666672,6,14.6
Station_1,27.111399465380334,2017-06-23,15.5,4,246.75,4.058333333333333,1005.0708333333331,12.008333333333333,6,16.6
Station_1,29.334305257872042,2017-06-24,15.3,3,238.41666666666666,5.5,1003.1458333333335,8.9375,6,15.5
Station_1,30.285977308537166,2017-06-25,14.4,0,264.625,5.720833333333334,1005.2083333333331,7.0874999999999995,6,15.3
Station_1,32.28548313204318,2017-06-26,14.9,0,227.29166666666666,2.7291666666666674,1010.6833333333334,6.6875,6,14.4
Station_10,NA,2017-01-01,0.3,0,307.6666666666667,2.970833333333333,1012.3083333333334,-2.833333333333334,1,NA
Station_10,106.23270364723058,2017-01-02,3.4,4,251.375,4.8500000000000005,1002.2125,1.5374999999999996,1,0.3
Station_10,94.06406132241676,2017-01-03,1.1,0,169.70833333333334,7.525000000000002,999.0374999999998,-3.4708333333333328,1,3.4
